BOROUGH,YEAR,MONTH,COLLISION_COUNT
STATEN ISLAND,2016,6,619
STATEN ISLAND,2016,7,571
STATEN ISLAND,2016,8,517
STATEN ISLAND,2016,9,532
STATEN ISLAND,2016,10,581
STATEN ISLAND,2016,11,534
STATEN ISLAND,2016,12,573
STATEN ISLAND,2017,1,524
STATEN ISLAND,2017,2,482
STATEN ISLAND,2017,3,505
STATEN ISLAND,2017,4,501
STATEN ISLAND,2017,5,527
STATEN ISLAND,2017,6,591
STATEN ISLAND,2017,7,530
STATEN ISLAND,2017,8,483
STATEN ISLAND,2017,9,477
STATEN ISLAND,2017,10,517
STATEN ISLAND,2017,11,519
STATEN ISLAND,2017,12,585
STATEN ISLAND,2018,1,487
STATEN ISLAND,2018,2,401
STATEN ISLAND,2018,3,502
STATEN ISLAND,2018,4,510
STATEN ISLAND,2018,5,561
STATEN ISLAND,2018,6,549
STATEN ISLAND,2018,7,489
STATEN ISLAND,2018,8,521
STATEN ISLAND,2018,9,501
STATEN ISLAND,2018,10,579
STATEN ISLAND,2018,11,517
STATEN ISLAND,2018,12,554
STATEN ISLAND,2019,1,464
STATEN ISLAND,2019,2,429
STATEN ISLAND,2019,3,370
STATEN ISLAND,2019,4,217
STATEN ISLAND,2019,5,293
STATEN ISLAND,2019,6,289
STATEN ISLAND,2019,7,270
STATEN ISLAND,2019,8,254
STATEN ISLAND,2019,9,253
STATEN ISLAND,2019,10,263
STATEN ISLAND,2019,11,286
STATEN ISLAND,2019,12,262
STATEN ISLAND,2020,1,234
STATEN ISLAND,2020,2,209
STATEN ISLAND,2020,3,178
STATEN ISLAND,2020,4,117
STATEN ISLAND,2020,5,154
STATEN ISLAND,2020,6,160
STATEN ISLAND,2020,7,200
STATEN ISLAND,2020,8,249
STATEN ISLAND,2020,9,215
STATEN ISLAND,2020,10,250
STATEN ISLAND,2020,11,187
STATEN ISLAND,2020,12,235
STATEN ISLAND,2021,1,212
STATEN ISLAND,2021,2,179
STATEN ISLAND,2021,3,177
STATEN ISLAND,2021,4,186
STATEN ISLAND,2021,5,262
STATEN ISLAND,2021,6,250
STATEN ISLAND,2021,7,245
STATEN ISLAND,2021,8,200
STATEN ISLAND,2021,9,230
STATEN ISLAND,2021,10,246
STATEN ISLAND,2021,11,238
STATEN ISLAND,2021,12,240
STATEN ISLAND,2022,1,213
STATEN ISLAND,2022,2,184
STATEN ISLAND,2022,3,220
STATEN ISLAND,2022,4,184
STATEN ISLAND,2022,5,254
STATEN ISLAND,2022,6,255
STATEN ISLAND,2022,7,242
STATEN ISLAND,2022,8,72
Unknown,2012,7,3839
Unknown,2012,8,3967
Unknown,2012,9,3733
Unknown,2012,10,3875
Unknown,2012,11,3644
Unknown,2012,12,3911
Unknown,2013,1,3664
Unknown,2013,2,3152
Unknown,2013,3,3699
Unknown,2013,4,3727
Unknown,2013,5,4151
Unknown,2013,6,4159
Unknown,2013,7,4296
Unknown,2013,8,4099
Unknown,2013,9,4094
Unknown,2013,10,4295
Unknown,2013,11,4342
Unknown,2013,12,4083
Unknown,2014,1,3960
Unknown,2014,2,3594
Unknown,2014,3,3733
Unknown,2014,4,3951
Unknown,2014,5,4566
Unknown,2014,6,4437
Unknown,2014,7,4264
Unknown,2014,8,4229
Unknown,2014,9,4325
Unknown,2014,10,4311
Unknown,2014,11,4092
Unknown,2014,12,4223
Unknown,2015,1,3712
Unknown,2015,2,4793
Unknown,2015,3,4222
Unknown,2015,4,4188
Unknown,2015,5,4758
Unknown,2015,6,4732
Unknown,2015,7,4603
Unknown,2015,8,4765
Unknown,2015,9,4512
Unknown,2015,10,4845
Unknown,2015,11,4389
Unknown,2015,12,4712
Unknown,2016,1,4148
Unknown,2016,2,3815
Unknown,2016,3,5918
Unknown,2016,4,5640
Unknown,2016,5,5924
Unknown,2016,6,7388
Unknown,2016,7,6937
Unknown,2016,8,7430
Unknown,2016,9,7371
Unknown,2016,10,7402
Unknown,2016,11,7308
Unknown,2016,12,7246
Unknown,2017,1,6460
Unknown,2017,2,5632
Unknown,2017,3,7027
Unknown,2017,4,6543
Unknown,2017,5,7820
Unknown,2017,6,7901
Unknown,2017,7,7245
Unknown,2017,8,7788
Unknown,2017,9,8324
Unknown,2017,10,8747
Unknown,2017,11,7431
Unknown,2017,12,7135
Unknown,2018,1,6386
Unknown,2018,2,5594
Unknown,2018,3,6754
Unknown,2018,4,6516
Unknown,2018,5,7402
Unknown,2018,6,7483
Unknown,2018,7,6920
Unknown,2018,8,6994
Unknown,2018,9,6804
Unknown,2018,10,7480
Unknown,2018,11,6980
Unknown,2018,12,7017
Unknown,2019,1,5861
Unknown,2019,2,5742
Unknown,2019,3,6269
Unknown,2019,4,5992
Unknown,2019,5,6933
Unknown,2019,6,6926
Unknown,2019,7,6378
Unknown,2019,8,6083
Unknown,2019,9,6132
Unknown,2019,10,6346
Unknown,2019,11,5874
Unknown,2019,12,5926
Unknown,2020,1,4808
Unknown,2020,2,4701
Unknown,2020,3,3826
Unknown,2020,4,1526
Unknown,2020,5,2200
Unknown,2020,6,2612
Unknown,2020,7,3119
Unknown,2020,8,3379
Unknown,2020,9,3360
Unknown,2020,10,3421
Unknown,2020,11,3314
Unknown,2020,12,2962
Unknown,2021,1,2680
Unknown,2021,2,2412
Unknown,2021,3,2912
Unknown,2021,4,3174
Unknown,2021,5,3664
Unknown,2021,6,3694
Unknown,2021,7,3451
Unknown,2021,8,3475
Unknown,2021,9,3311
Unknown,2021,10,3487
Unknown,2021,11,3194
Unknown,2021,12,2875
Unknown,2022,1,2701
Unknown,2022,2,2435
Unknown,2022,3,3012
Unknown,2022,4,2927
Unknown,2022,5,3171
Unknown,2022,6,3100
Unknown,2022,7,2936
Unknown,2022,8,982
